          x            density        pressure        velocity        internal energy
   9.3750000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   9.6250000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   9.8750000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.0125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.0375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.0625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.0875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.1125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.1375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.1625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.1875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.2125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.2375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.2625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.2875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.3125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.3375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.3625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.3875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.4125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.4375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.4625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.4875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.5125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.5375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.5625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.5875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.6125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.6375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.6625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.6875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.7125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.7375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.7625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.7875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.8125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.8375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.8625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.8875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.9125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.9375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.9625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   1.9875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.0125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.0375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.0625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.0875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.1125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.1375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.1625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.1875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.2125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.2375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.2625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.2875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
