          x            density        pressure        velocity        internal energy
   1.7500000E-01   7.9009323E-01   8.6110338E+00   7.1903441E+02   2.2751569E+03
   1.7750000E-01   7.8625783E-01   8.7846449E+00   7.1415252E+02   2.2707326E+03
   1.8000000E-01   7.8243733E-01   8.9582560E+00   7.0929906E+02   2.2663127E+03
   1.8250000E-01   7.7863170E-01   9.1318671E+00   7.0447391E+02   2.2618971E+03
   1.8500000E-01   7.7484089E-01   9.3054782E+00   6.9967692E+02   2.2574858E+03
   1.8750000E-01   7.7106486E-01   9.4790893E+00   6.9490795E+02   2.2530788E+03
   1.9000000E-01   7.6730357E-01   9.6527004E+00   6.9016687E+02   2.2486761E+03
   1.9250000E-01   7.6355697E-01   9.8263116E+00   6.8545354E+02   2.2442777E+03
   1.9500000E-01   7.5982502E-01   9.9999227E+00   6.8076783E+02   2.2398836E+03
   1.9750000E-01   7.5610767E-01   1.0173534E+01   6.7610960E+02   2.2354938E+03
   2.0000000E-01   7.5240489E-01   1.0347145E+01   6.7147872E+02   2.2311083E+03
   2.0250000E-01   7.4871663E-01   1.0520756E+01   6.6687506E+02   2.2267271E+03
   2.0500000E-01   7.4504285E-01   1.0694367E+01   6.6229847E+02   2.2223503E+03
   2.0750000E-01   7.4138350E-01   1.0867978E+01   6.5774883E+02   2.2179777E+03
   2.1000000E-01   7.3773855E-01   1.1041589E+01   6.5322601E+02   2.2136094E+03
   2.1250000E-01   7.3410795E-01   1.1215200E+01   6.4872987E+02   2.2092455E+03
   2.1500000E-01   7.3049165E-01   1.1388812E+01   6.4426028E+02   2.2048859E+03
   2.1750000E-01   7.2688962E-01   1.1562423E+01   6.3981711E+02   2.2005305E+03
   2.2000000E-01   7.2330181E-01   1.1736034E+01   6.3540024E+02   2.1961795E+03
   2.2250000E-01   7.1972818E-01   1.1909645E+01   6.3100952E+02   2.1918328E+03
   2.2500000E-01   7.1616870E-01   1.2083256E+01   6.2664484E+02   2.1874903E+03
   2.2750000E-01   7.1262331E-01   1.2256867E+01   6.2230606E+02   2.1831522E+03
   2.3000000E-01   7.0909197E-01   1.2430478E+01   6.1799306E+02   2.1788184E+03
   2.3250000E-01   7.0557465E-01   1.2604089E+01   6.1370570E+02   2.1744889E+03
   2.3500000E-01   7.0207130E-01   1.2777700E+01   6.0944386E+02   2.1701637E+03
   2.3750000E-01   6.9858188E-01   1.2951312E+01   6.0520742E+02   2.1658428E+03
   2.4000000E-01   6.9510635E-01   1.3124923E+01   6.0099624E+02   2.1615262E+03
   2.4250000E-01   6.9164466E-01   1.3298534E+01   5.9681020E+02   2.1572139E+03
   2.4500000E-01   6.8819678E-01   1.3472145E+01   5.9264918E+02   2.1529060E+03
   2.4750000E-01   6.8476266E-01   1.3645756E+01   5.8851305E+02   2.1486023E+03
   2.5000000E-01   6.8134227E-01   1.3819367E+01   5.8440169E+02   2.1443029E+03
   2.5250000E-01   6.7793556E-01   1.3992978E+01   5.8031498E+02   2.1400079E+03
   2.5500000E-01   6.7454249E-01   1.4166589E+01   5.7625278E+02   2.1357171E+03
   2.5750000E-01   6.7116301E-01   1.4340200E+01   5.7221498E+02   2.1314307E+03
   2.6000000E-01   6.6779710E-01   1.4513812E+01   5.6820145E+02   2.1271486E+03
   2.6250000E-01   6.6444470E-01   1.4687423E+01   5.6421208E+02   2.1228707E+03
   2.6500000E-01   6.6110579E-01   1.4861034E+01   5.6024674E+02   2.1185972E+03
   2.6750000E-01   6.5778030E-01   1.5034645E+01   5.5630532E+02   2.1143280E+03
   2.7000000E-01   6.5446822E-01   1.5208256E+01   5.5238768E+02   2.1100631E+03
   2.7250000E-01   6.5116948E-01   1.5381867E+01   5.4849372E+02   2.1058024E+03
   2.7500000E-01   6.4788407E-01   1.5555478E+01   5.4462330E+02   2.1015461E+03
   2.7750000E-01   6.4461192E-01   1.5729089E+01   5.4077632E+02   2.0972941E+03
   2.8000000E-01   6.4135302E-01   1.5902700E+01   5.3695266E+02   2.0930464E+03
   2.8250000E-01   6.3810730E-01   1.6076312E+01   5.3315219E+02   2.0888031E+03
   2.8500000E-01   6.3487474E-01   1.6249923E+01   5.2937481E+02   2.0845640E+03
   2.8750000E-01   6.3165530E-01   1.6423534E+01   5.2562038E+02   2.0803292E+03
   2.9000000E-01   6.2844892E-01   1.6597145E+01   5.2188880E+02   2.0760987E+03
   2.9250000E-01   6.2525558E-01   1.6770756E+01   5.1817996E+02   2.0718726E+03
   2.9500000E-01   6.2207524E-01   1.6944367E+01   5.1449372E+02   2.0676507E+03
